NúmeroSeção	NúmeroCandidato
5		47
3		43
9		40
7		11
0		38
4		258
9		4
8		60
7		230
10		86
10		200
7		294
2		97
5		10
9		281
8		221
10		250
9		193
3		200
5		148
9		122
6		274
4		161
10		267
2		3
10		203
4		78
4		270
5		57
7		22
8		224
9		109
10		193
4		155
7		22
5		246
8		284
6		206
9		192
9		98
10		142
0		294
0		108
8		189
9		207
7		168
7		149
8		210
7		250
2		44
10		81
4		288
3		32
4		141
0		41
0		79
8		68
6		230
1		117
6		80
4		297
4		199
1		176
2		237
10		20
6		103
7		202
8		231
9		240
0		267
0		282
9		105
3		97
10		148
9		180
0		30
1		284
10		107
4		234
1		233
4		171
4		72
0		178
3		69
2		278
7		208
3		137
8		161
3		100
10		281
4		209
4		75
0		237
2		107
8		277
6		148
1		280
0		234
6		266
9		7
1		121
0		16
8		216
9		88
1		292
1		242
8		266
9		264
9		300
5		201
9		86
8		34
8		37
0		34
9		133
8		157
7		181
1		94
0		152
7		270
3		72
6		44
5		163
3		6
7		169
3		132
6		33
7		14
5		154
9		28
1		75
2		181
8		105
4		230
2		97
7		300
9		155
4		115
9		26
4		244
7		230
9		176
9		116
7		7
5		119
0		271
9		252
1		22
4		55
9		20
5		133
6		91
6		91
3		147
5		54
9		188
5		53
3		253
4		62
6		145
8		169
4		260
7		126
9		272
2		162
7		101
2		232
2		59
3		188
0		138
1		79
8		48
0		113
9		247
5		170
2		79
9		164
0		41
4		26
4		271
4		198
9		207
2		284
1		88
5		118
4		39
0		234
4		173
0		200
10		238
2		238
0		191
5		53
4		156
6		129
0		5
7		76
0		203
6		169
5		280
